Disease,Precaution_1,Precaution_2,Precaution_3
(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements,Do vestibular exercises,Consult ENT specialist
AIDS,Practice safe sex,Regular medical checkups,Avoid sharing needles
Acne,Keep skin clean,Avoid oily products,Stay hydrated
Alcoholic hepatitis,Avoid alcohol,Follow healthy diet,Consult doctor regularly
Allergy,Avoid allergens,Take antihistamines,Keep environment clean
Arthritis,Exercise regularly,Maintain healthy weight,Take prescribed medication
Bronchial Asthma,Avoid triggers,Carry inhaler,Practice breathing exercises
Cervical spondylosis,Maintain posture,Do neck exercises,Use ergonomic support
Chicken pox,Avoid scratching,Maintain hygiene,Stay isolated
Chronic cholestasis,Follow low-fat diet,Consult doctor,Avoid alcohol
Common Cold,Drink warm fluids,Take rest,Maintain hygiene
Dengue,Avoid mosquito bites,Stay hydrated,Seek medical care
Diabetes ,Monitor blood sugar,Follow diet plan,Exercise regularly
Dimorphic hemmorhoids(piles),Eat high-fiber diet,Drink water,Avoid straining
Drug Reaction,Stop medication,Consult doctor,Avoid allergens
Fungal infection,Keep area dry,Use antifungal cream,Avoid sharing items
GERD,Avoid spicy food,Eat small meals,Do not lie down after eating
Gastroenteritis,Drink fluids,Maintain hygiene,Take rest
Heart attack,Exercise regularly,Avoid smoking,Maintain healthy diet
Hepatitis B,Get vaccinated,Avoid alcohol,Practice safe hygiene
Hepatitis C,Avoid alcohol,Regular checkups,Take antiviral medication
Hepatitis D,Get vaccinated,Avoid alcohol,Consult doctor
Hepatitis E,Drink clean water,Maintain hygiene,Avoid contaminated food
Hypertension ,Reduce salt intake,Exercise regularly,Monitor BP
Hyperthyroidism,Take medication,Reduce stress,Regular checkups
Hypoglycemia,Eat frequent meals,Monitor sugar,Carry glucose tablets
Hypothyroidism,Take thyroid meds,Regular tests,Maintain diet
Impetigo,Keep skin clean,Use antibiotics,Avoid contact
Jaundice,Drink fluids,Take rest,Avoid fatty food
Malaria,Use mosquito nets,Take medication,Avoid stagnant water
Migraine,Avoid triggers,Take rest,Manage stress
Osteoarthristis,Exercise regularly,Maintain weight,Take pain relief meds
Paralysis (brain hemorrhage),Immediate medical care,Physical therapy,Monitor BP
Peptic ulcer diseae,Avoid spicy food,Take medication,Reduce stress
Pneumonia,Take antibiotics,Rest well,Stay hydrated
Psoriasis,Moisturize skin,Avoid triggers,Consult dermatologist
Tuberculosis,Complete medication,Avoid close contact,Maintain hygiene
Typhoid,Drink clean water,Eat hygienic food,Take antibiotics
Urinary tract infection,Drink water,Maintain hygiene,Take antibiotics
Varicose veins,Avoid standing long,Exercise,Use compression stockings
hepatitis A,Drink clean water,Maintain hygiene,Get vaccinated
